Firm_ID,Year,Industry_Type,ESG_Score,E_Score,S_Score,G_Score,ROA,ROE,Net_Profit_Margin,Revenue,Operating_Cost,Firm_Size,Board_Independence,Innovation_Spending
MFG0103,2023,Pharmaceuticals,64.74666666666667,71.37,62.37,60.5,10.44,13.28,5.47,207.77,207.77,1543.5,81.08,3.97
MFG0436,2021,Automobile,78.06,85.2,77.27,71.71,7.41,10.94,5.93,235.4,71.53,1593.3,64.35,5.51
MFG0349,2023,Textile,66.93666666666667,75.2,59.36,66.25,6.54,17.87,9.63,226.76,226.76,1199.99,50.24,3.9
MFG0271,2021,Heavy Machinery,74.53000000000002,100.79,71.56,51.24,9.85,14.6,10.41,432.06,240.16,1519.84,87.54,2.42
MFG0107,2019,Automobile,68.14999999999999,55.59,74.07,74.79,5.34,11.51,12.63,164.27,164.27,920.14,67.48,5.05
MFG0072,2019,Heavy Machinery,66.35666666666667,73.33,65.65,60.09,1.74,17.43,9.2,331.39,238.01,1369.1,88.98,4.95
MFG0189,2019,Pharmaceuticals,66.69,67.1,69.37,63.6,3.88,11.89,9.45,172.6,69.26,1166.22,77.09,3.82
MFG0021,2020,Heavy Machinery,72.51666666666667,74.58,75.49,67.48,10.59,10.5,12.66,349.6,291.75,995.42,54.96,4.08
MFG0103,2020,Textile,75.69,91.27,75.06,60.74,7.62,16.35,7.3,261.78,180.76,1846.8,63.08,2.82
MFG0122,2022,Automobile,78.35000000000001,91.96,72.03,71.06,7.43,8.77,10.37,187.8,187.8,1058.1,76.28,4.54
MFG0467,2022,Textile,65.55,72.6,67.88,56.17,9.28,21.03,11.71,244.19,164.78,1090.48,75.97,2.65
MFG0215,2022,Textile,71.72333333333334,81.48,73.29,60.4,7.74,20.06,8.89,350.05,114.78,1062.09,59.28,2.83
MFG0331,2020,Automobile,66.33,74.37,49.81,74.81,6.31,16.19,12.58,137.21,137.21,1303.77,57.07,4.22
MFG0459,2020,Textile,68.88333333333333,60.17,81.28,65.2,5.9,11.67,7.43,237.24,197.39,1604.56,61.07,4.5
MFG0088,2022,Electronics,65.17333333333333,72.16,66.81,56.55,4.06,9.73,14.69,281.29,211.58,854.68,81.48,2.6
MFG0373,2022,Electronics,64.48666666666666,66.44,61.39,65.63,4.33,3.71,9.06,162.37,162.37,1343.04,59.67,3.1
MFG0100,2023,Electronics,70.97333333333334,71.31,73.4,68.21,7.44,20.46,8.68,204.76,204.03,1304.35,78.07,3.15
MFG0360,2022,Heavy Machinery,62.693333333333335,62.63,73.14,52.31,6.61,10.12,5.62,445.28,188.24,716.86,84.8,4.56
MFG0152,2023,Textile,70.38333333333333,73.71,59.21,78.23,8.22,15.42,6.64,167.72,102.77,1605.22,65.66,3.14
MFG0131,2021,Automobile,74.42999999999999,75.36,68.61,79.32,6.79,14.8,7.57,246.44,209.83,1280.73,50.28,3.18
MFG0150,2020,Automobile,71.35000000000001,79.75,68.34,65.96,4.34,7.31,6.62,348.45,209.79,1416.87,55.68,4.84
