Firm_ID,Year,E_Score,Revenue
MFG0103,2023,71.37,207.77
MFG0436,2021,85.2,235.4
MFG0349,2023,75.2,226.76
MFG0271,2021,100.79,432.06
MFG0107,2019,55.59,164.27
MFG0072,2019,73.33,331.39
MFG0189,2019,67.1,172.6
MFG0021,2020,74.58,349.6
MFG0103,2020,91.27,261.78
MFG0122,2022,91.96,187.8
MFG0467,2022,72.6,244.19
MFG0215,2022,81.48,350.05
MFG0331,2020,74.37,137.21
MFG0459,2020,60.17,237.24
MFG0088,2022,72.16,281.29
MFG0373,2022,66.44,162.37
MFG0100,2023,71.31,204.76
MFG0360,2022,62.63,445.28
MFG0152,2023,73.71,167.72
MFG0131,2021,75.36,246.44
MFG0150,2020,79.75,348.45
MFG0309,2022,75.41,292.5
MFG0258,2020,89.98,242.87
MFG0344,2020,96.11,378.47
MFG0492,2020,67.55,92.34
MFG0414,2021,82.67,369.97
MFG0294,2019,95.26,205.04
MFG0386,2022,82.96,44.41
MFG0192,2019,79.89,515.56
MFG0444,2019,51.96,303.74
MFG0277,2019,65.86,376.87
MFG0161,2020,67.47,407.57
MFG0460,2023,87.26,207.55
MFG0314,2020,63.96,273.99
MFG0022,2020,71.06,296.45
MFG0253,2019,81.24,229.72
MFG0236,2020,63.47,418.83
MFG0345,2019,75.07,433.15
MFG0049,2023,73.64,287.05
MFG0475,2022,81.65,349.89
MFG0059,2019,79.25,385.46
MFG0170,2023,78.9,328.15
MFG0476,2022,74.21,242.38
MFG0188,2021,53.56,51.66
MFG0464,2019,73.54,309.44
MFG0271,2019,72.61,379.51
MFG0190,2021,80.43,205.61
MFG0446,2021,67.35,317.16
MFG0175,2019,72.46,344.56
MFG0446,2021,72.81,345.11
MFG0051,2020,64.16,312.49
MFG0364,2022,59.31,200.06
MFG0055,2022,76.21,420.6
MFG0244,2022,83.09,295.51
MFG0320,2020,65.13,246.29
MFG0131,2021,69.6,135.82
MFG0485,2023,81.13,340.42
MFG0307,2021,82.19,545.64
MFG0135,2019,74.55,276.46
MFG0021,2022,76.56,251.27
MFG0329,2021,77.85,298.74
MFG0167,2023,79.82,292.45
MFG0274,2019,60.21,263.24
MFG0388,2020,93.09,507.55
MFG0089,2020,75.01,304.44
MFG0316,2023,80.03,169.7
MFG0014,2019,63.62,182.23
MFG0242,2022,69.96,413.92
MFG0265,2021,76.15,328.41
MFG0346,2019,52.15,264.84
MFG0053,2020,62.09,256.52
MFG0386,2023,64.02,369.71
MFG0340,2023,57.93,221.08
MFG0092,2021,73.17,285.04
MFG0367,2023,71.19,372.87
MFG0444,2023,87.66,225.68
MFG0455,2019,59.67,427.18
MFG0428,2022,74.58,136.24
MFG0264,2021,62.32,303.82
MFG0431,2019,53.11,307.62
MFG0035,2022,78.47,87.61
MFG0206,2019,79.38,225.73
MFG0081,2019,78.07,359.66
MFG0420,2023,57.52,227.92
MFG0050,2022,72.92,273.55
MFG0360,2021,78.57,259.34
MFG0388,2021,82.47,397.39
MFG0002,2022,78.91,334.26
MFG0390,2023,82.62,255.0
MFG0054,2020,83.74,228.33
MFG0106,2019,73.15,386.62
MFG0260,2023,77.48,314.43
MFG0310,2022,83.0,400.74
MFG0477,2019,76.29,361.77
MFG0191,2021,85.19,-26.81
MFG0402,2020,81.62,407.22
MFG0218,2021,65.04,312.49
MFG0044,2022,57.63,324.61
MFG0162,2019,72.21,99.39
MFG0202,2022,59.01,251.28
MFG0446,2019,72.91,305.83
MFG0484,2023,71.92,171.69
MFG0270,2020,86.31,432.72
MFG0351,2023,77.56,374.65
MFG0304,2023,82.76,259.84
MFG0271,2022,66.61,481.38
MFG0456,2020,88.83,336.98
MFG0462,2019,81.83,437.23
MFG0215,2019,76.7,218.4
